fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Asu Almabaev,Charles Johnson,PMU (FR),Over,2.5,1.4,2026-06-23,2026-06-27
Asu Almabaev,Charles Johnson,PMU (FR),Under,2.5,2.8,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,BetOnline.ag,Over,2.5,1.57,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,BetOnline.ag,Under,2.5,2.53,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,1xBet,Over,2.5,1.35,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,1xBet,Under,2.5,3.0,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,Pinnacle,Over,2.5,1.5,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,Pinnacle,Under,2.5,2.62,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,Coolbet,Over,2.5,1.56,2026-06-23,2026-06-27
Bekzat Almakhan,Jean Matsumoto,Coolbet,Under,2.5,2.5,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,BetOnline.ag,Over,1.5,1.95,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,BetOnline.ag,Under,1.5,1.87,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,1xBet,Over,1.5,1.72,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,1xBet,Under,1.5,2.05,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,Pinnacle,Over,1.5,1.93,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,Pinnacle,Under,1.5,1.88,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,Coolbet,Over,1.5,1.95,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,Coolbet,Under,1.5,1.87,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,PMU (FR),Over,1.5,2.02,2026-06-23,2026-06-27
Ikram Aliskerov,Brunno Ferreira,PMU (FR),Under,1.5,1.74,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,BetOnline.ag,Over,1.5,1.77,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,BetOnline.ag,Under,1.5,2.1,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,Pinnacle,Over,1.5,1.75,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,Pinnacle,Under,1.5,2.1,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,1xBet,Over,1.5,1.6,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,1xBet,Under,1.5,2.25,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,Coolbet,Over,1.5,1.77,2026-06-23,2026-06-27
Daniil Donchenko,Theodor Berggren,Coolbet,Under,1.5,2.1,2026-06-23,2026-06-27
Farman Hasanov,Eric Nolan,BetOnline.ag,Over,2.5,2.53,2026-06-23,2026-06-27
Farman Hasanov,Eric Nolan,BetOnline.ag,Under,2.5,1.57,2026-06-23,2026-06-27
Farman Hasanov,Eric Nolan,1xBet,Over,1.5,1.65,2026-06-23,2026-06-27
Farman Hasanov,Eric Nolan,1xBet,Under,1.5,2.16,2026-06-23,2026-06-27
Farman Hasanov,Eric Nolan,Coolbet,Over,2.5,2.5,2026-06-23,2026-06-27
Farman Hasanov,Eric Nolan,Coolbet,Under,2.5,1.56,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,BetOnline.ag,Over,2.5,1.91,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,BetOnline.ag,Under,2.5,1.91,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,1xBet,Over,2.5,1.78,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,1xBet,Under,2.5,1.97,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,Pinnacle,Over,2.5,1.85,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,Pinnacle,Under,2.5,1.97,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,Coolbet,Over,2.5,1.86,2026-06-23,2026-06-27
Kaan Ofli,Javier Reyes Rugeles,Coolbet,Under,2.5,1.96,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,BetOnline.ag,Over,2.5,2.36,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,BetOnline.ag,Under,2.5,1.64,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,1xBet,Over,2.5,2.05,2026-06-23,2026-06-27
Nazim Sadykhov,Matheus Camilo,1xBet,Under,2.5,1.72,2026-06-23,2026-06-27
